seqnames	start	end	width	strand	primer.class	TFBSname
chr1	16798175	16798641	467	-	CTCF	TFBS_25443
chr1	31210117	31210616	500	+	CTCF	TFBS_56174
chr1	65046384	65046875	492	+	CTCF	TFBS_134104
chr1	74948691	74949189	499	+	CTCF	TFBS_159115
chr1	75342867	75343365	499	-	CTCF	TFBS_159906
chr1	85853357	85853831	475	+	CTCF	TFBS_185464
chr1	154786169	154786534	366	-	CTCF	TFBS_332993
chr1	172528604	172529097	494	-	CTCF	TFBS_375625
chr1	180874010	180874452	443	-	CTCF	TFBS_394965
chr2	28915921	28916411	491	+	REST	TFBS_921564
chr2	33017990	33018487	498	+	REST	TFBS_932810
chr4	46992856	46993354	499	+	REST	TFBS_2505232
chr4	127619732	127620226	495	+	REST	TFBS_2680517
chr5	134544786	134545270	485	+	REST	TFBS_3394835
chr19	54175783	54176277	495	+	REST	TFBS_10873850
chr8	9769064	9769550	487	-	REST	TFBS_5064611
chr9	48137457	48137888	432	+	REST	TFBS_5742224
chr9	64666528	64667007	480	-	REST	TFBS_5782387
chr9	119388954	119389450	497	+	REST	TFBS_5913178
chr11	82596676	82597114	439	-	REST	TFBS_6980521
chr1	52953571	52953990	420	-	Pou5f1::Sox2	TFBS_104494
chr1	100878015	100878448	434	-	Pou5f1::Sox2	TFBS_219956
chr1	123065218	123065717	500	+	Pou5f1::Sox2	TFBS_260028
chr1	126129038	126129528	491	-	Pou5f1::Sox2	TFBS_266503
chr1	132281813	132282293	481	-	POU5F1B	TFBS_280732
chr5	72902234	72902717	484	-	POU5F1B	TFBS_3249541
chr3	108433573	108434054	482	-	Pou5f1::Sox2	TFBS_1936247
chr6	55169822	55170312	491	+	Pou5f1::Sox2	TFBS_3901852
chr6	60994013	60994501	489	-	Pou5f1::Sox2	TFBS_3912505
chr5	119055408	119055895	488	+	Sox2	TFBS_3358064
chr1	60851044	60851540	497	-	Sox2	TFBS_122963
chr1	74824758	74825249	492	-	Sox2	TFBS_158790
chr1	133492450	133492949	500	-	Sox2	TFBS_283929
chr5	125059072	125059568	497	+	Pou5f1::Sox2	TFBS_3373496
chr5	140174110	140174602	493	+	Pou5f1::Sox2	TFBS_3407613
chr1	137378564	137379042	479	-	Pou5f1::Sox2	TFBS_294000
chr11	6546267	6546697	431	-	YY1	TFBS_6804715
chr1	184034099	184034572	474	+	NFYA	TFBS_402504
chr1	195018063	195018552	490	+	NFYA	TFBS_431197
chr2	94158026	94158520	495	-	NFYA	TFBS_1078576
chr4	91376371	91376869	499	+	NFYA	TFBS_2600562
chr4	140837841	140838184	344	-	NFYA	TFBS_2713761
chr1	64122459	64122946	488	+	Myc	TFBS_131745
chr1	106721855	106722354	500	-	Mycn	TFBS_230665
chr1	182489780	182490242	463	+	MAX::MYC	TFBS_398891
chr4	125607559	125608035	477	+	Mycn	TFBS_2675709
chr1	45672751	45673220	470	+	Bach1::Mafk	TFBS_89628
chr1	51508981	51509471	491	+	Bach1::Mafk	TFBS_101013
chr1	153039980	153040479	500	+	Bach1::Mafk	TFBS_328847
chr1	180312817	180313316	500	+	Bach1::Mafk	TFBS_393492
chr1	167270688	167271180	493	+	MAX	TFBS_363281
chr2	28640634	28641116	483	-	MAX::MYC	TFBS_920762
chr2	158794436	158794916	481	-	MAX	TFBS_1230678
chr1	79775810	79776232	423	+	NRF1	TFBS_170867
chr2	126151857	126152329	473	+	NRF1	TFBS_1153641
chr7	18990973	18991389	417	+	NRF1	TFBS_4473869
chr7	28741904	28742380	477	-	NRF1	TFBS_4489844
chr1	72712620	72713110	491	+	Foxd3	TFBS_153530
chr1	132342135	132342634	500	+	Foxd3	TFBS_280935
chr2	165976693	165977166	474	-	Foxd3	TFBS_1248367
chr4	87873596	87874065	470	-	Foxd3	TFBS_2593176
chr1	65109954	65110444	491	-	TP53	TFBS_134258
chr1	135358983	135359470	488	+	TP53	TFBS_288592
chr1	172350548	172350852	305	-	TP53	TFBS_375142
chr2	172495958	172496374	417	-	TP53	TFBS_1265520
chr3	84071478	84071977	500	+	TP53	TFBS_1882168
chr3	34653890	34654386	497	+	Pou5f1::Sox2	TFBS_1772258
chr3	34653902	34654401	500	+	MAX::MYC	TFBS_1772259
chr3	34668026	34668516	491	-	POU5F1B	TFBS_2125043
chr3	34668419	34668918	500	+	POU5F1B	TFBS_2125044
chr3	34761210	34761708	499	-	Sox2	TFBS_2125261
chr17	35916204	35916597	394	+	CTCF	TFBS_10006584
chr17	35916724	35917155	432	-	NFYA	TFBS_10215471
chr17	15455263	15455707	445	+	REST	TFBS_9962176
chr19	4988964	4989435	472	-	REST	TFBS_10759423
chr17	29361950	29362361	412	+	REST	TFBS_9991046
chr17	15179485	15179960	476	+	REST	TFBS_9961347
chr13	53947915	53948408	494	-	REST	TFBS_8022595
chr14	80215686	80216171	486	+	REST	TFBS_8618268
chr16	35654397	35654840	444	-	REST	TFBS_9551289
chr17	46110882	46111339	458	+	YY1	TFBS_10026282
chr2	26916665	26917132	468	-	NRF1	TFBS_915930
chr1	36530625	36531106	482	+	CTCF	TFBS_67484
chr1	59422854	59423347	494	-	REST	TFBS_119393
chr1	74858310	74858806	497	+	NFYA	TFBS_158855
chr1	16104410	16104907	498	-	TP53	TFBS_24064
chr1	171845183	171845680	498	-	TP53	TFBS_373932
chr1	31019530	31020028	499	+	Pou5f1::Sox2	TFBS_55766
chr1	161877098	161877574	477	-	POU5F1B	TFBS_350092
chr1	4671372	4671868	497	+	Myc	TFBS_2860
chr1	35750468	35750960	493	+	Myc	TFBS_65813
chr1	103140010	103140509	500	-	MAFK	TFBS_223713
chr1	88223242	88223738	497	-	Pou5f1::Sox2	TFBS_191382
chr1	38242088	38242529	442	+	Pou5f1::Sox2	TFBS_71739
chr1	89921732	89922209	478	+	Sox2	TFBS_195990
chr4	5647023	5647516	494	-	YY1	TFBS_2417526
